"","A","D","H","results","B365H","B365D","B365A"
"2261",0.84,0.06,0.1,"A",2.625,3.2,2.6
"2262",0.78,0.03,0.19,"A",2.5,3.25,2.75
"2263",0.06,0.1,0.84,"H",2.4,3.2,2.87
"2264",0.85,0.14,0.01,"A",5,3.6,1.66
"2265",0.03,0.17,0.8,"D",1.5,4,6
"2266",0.02,0.02,0.96,"H",1.14,7,17
"2267",0.1,0.09,0.81,"H",1.83,3.3,4.33
"2268",0.05,0.2,0.75,"H",1.72,3.5,4.75
"2269",0.14,0.64,0.22,"D",0,0,0
"2270",0.8,0.07,0.13,"A",8,4.5,1.36
"2271",0.1,0.1,0.8,"H",2.3,3.25,3
"2272",0.54,0.16,0.3,"A",2.2,3.2,3.25
"2273",0.31,0.29,0.4,"A",3.25,3.2,2.2
"2274",0.29,0.12,0.59,"H",2.6,3.1,2.7
"2275",0.01,0.02,0.97,"H",1.28,5,10
"2276",0.02,0.18,0.8,"H",2.1,3.2,3.5
"2277",0,0,1,"H",1.14,7,19
"2278",0.73,0.21,0.06,"H",3.8,3.4,1.9
"2279",0.81,0.16,0.03,"A",4,3.25,1.8
"2280",0.08,0.05,0.87,"H",1.727,3.4,5
"2281",0.06,0.09,0.85,"H",1.9,3.25,4
"2282",0.08,0.03,0.89,"H",2.1,3.2,3.5
"2283",0.07,0.03,0.9,"H",2.8,3.25,2.4
"2284",0.32,0.05,0.63,"A",1.83,3.3,4.33
"2285",0.04,0.05,0.91,"H",1.25,5,13
"2286",0.01,0.03,0.96,"H",1.66,3.6,5
"2287",0.11,0.09,0.8,"D",2.4,3.25,2.8
"2288",0.26,0.63,0.11,"D",0,0,0
"2289",0.93,0.01,0.06,"A",7.5,4.33,1.4
"2290",0.31,0.04,0.65,"H",2.25,3.2,3.1
"2291",0.17,0.44,0.39,"H",2.5,3.25,2.7
"2292",0.22,0.24,0.54,"D",2.37,3.2,2.9
"2293",0.04,0.03,0.93,"H",0,0,0
"2294",0.02,0.36,0.62,"H",2.2,3.25,2.8
"2295",0.11,0.41,0.48,"D",1.8,3.4,4.5
"2296",0.05,0.54,0.41,"D",2,3.2,3.75
"2297",0.09,0.65,0.26,"D",2.6,3.2,2.62
"2298",0.18,0.01,0.81,"A",2,3.2,3.75
"2299",0.29,0.22,0.49,"A",3.2,3.25,2.2
"2300",0.9,0.02,0.08,"A",3.6,3.3,2
"2301",0.68,0.3,0.02,"A",7,3.75,1.5
"2302",0.04,0.52,0.44,"D",0,0,0
"2303",0.24,0.05,0.71,"A",1.72,3.5,4.75
"2304",0,0,1,"H",1.16,6.5,15
"2305",0.52,0.06,0.42,"A",3.25,3.25,2
"2306",0.04,0.12,0.84,"H",2.3,3.25,3
"2307",0.07,0.04,0.89,"H",1.3,5,9
"2308",0.24,0.05,0.71,"A",1.95,3.3,3.8
"2309",0.01,0.41,0.58,"D",2.1,3.25,3.4
"2310",0.42,0.41,0.17,"D",4,3.25,1.9
"2311",0.66,0.05,0.29,"H",3.1,3.3,2.2
"2312",0.52,0.45,0.03,"D",0,0,0
"2313",0.01,0.02,0.97,"H",1.61,3.6,5.5
"2314",0.02,0.08,0.9,"H",2.1,3.25,3.4
"2315",0.1,0.14,0.76,"D",1.571,3.5,6.5
"2316",0.04,0,0.96,"H",1.72,3.4,5
"2317",0.1,0.1,0.8,"D",2.3,3.25,3
"2318",0.56,0.05,0.39,"H",2.2,3.2,3.25
"2319",0.05,0.16,0.79,"A",1.9,3.3,4
"2320",0.14,0.16,0.7,"H",1.72,3.4,5
"2321",0.31,0.46,0.23,"D",2.37,3.2,2.9
"2322",0,0,1,"H",1.66,3.4,5.5
"2323",0.07,0.09,0.84,"D",2.1,3.2,3.5
"2324",0.59,0.05,0.36,"A",4,3.25,1.8
"2325",0.05,0.09,0.86,"H",1.286,5,10
"2326",0,0.35,0.65,"D",1.25,5.5,11
"2327",0.11,0.06,0.83,"A",1.4,4.33,7.5
"2328",0.22,0.05,0.73,"A",2,3.2,3.75
"2329",0.28,0.05,0.67,"H",1.44,4,7.5
"2330",0.06,0.09,0.85,"H",1.61,3.6,5.5
"2331",0.79,0.04,0.17,"H",6,4,1.5
"2332",0.86,0.12,0.02,"A",3.8,3.4,1.9
"2333",0.2,0.09,0.71,"A",2.37,3.25,2.87
"2334",0.54,0.07,0.39,"A",2.5,3.25,2.7
"2335",0,0.08,0.92,"D",0,0,0
"2336",0.09,0.07,0.84,"D",1.9,3.25,4
"2337",0.35,0.29,0.36,"D",2.63,3.2,2.63
"2338",0.16,0.56,0.28,"D",2.25,3.25,3.1
"2339",0.55,0.28,0.17,"D",3.2,3.25,2.2
"2340",0.15,0.1,0.75,"A",0,0,0
"2341",0.04,0.1,0.86,"H",1.9,3.25,4
"2342",0.03,0.24,0.73,"H",2.4,3.25,2.8
"2343",0.55,0.39,0.06,"D",3,3.3,2.25
"2344",0.05,0.06,0.89,"H",1.4,4.33,7.5
"2345",0.07,0.22,0.71,"H",1.61,3.6,5.5
"2346",0.04,0.04,0.92,"H",1.36,4.5,8
"2347",0.3,0.14,0.56,"A",1.83,3.3,4.33
"2348",0.03,0.11,0.86,"H",0,0,0
"2349",0.03,0.4,0.57,"D",2.05,3.25,3.6
"2350",0,0.02,0.98,"H",1.36,4.5,8
"2351",0.12,0.13,0.75,"D",2.62,3.25,2.6
"2352",0.74,0.03,0.23,"H",2.4,3.4,2.75
"2353",0.07,0.09,0.84,"H",2.1,3.25,3.4
"2354",0.14,0.62,0.24,"D",0,0,0
"2355",0.05,0.48,0.47,"D",1.28,5,10
"2356",0.09,0.17,0.74,"H",1.727,3.5,4
"2357",0.05,0.08,0.87,"D",2.2,3.25,3.2
"2358",0.07,0.22,0.71,"D",2.1,3.2,3.5
"2359",0.69,0.07,0.24,"A",2.3,3.25,3
"2360",0.1,0.06,0.84,"H",1.57,3.8,5.5
"2361",0.08,0.05,0.87,"H",1.33,4.5,9.5
"2362",0.09,0.23,0.68,"H",1.9,3.4,4
"2363",0.2,0.09,0.71,"H",1.95,3.3,3.8
"2364",0.86,0.04,0.1,"A",4.333,3.3,1.833
"2365",0.86,0.04,0.1,"A",4.5,3.25,1.83
"2366",0.6,0.05,0.35,"A",2.25,3.3,3
"2367",0.46,0.09,0.45,"H",2.15,3.25,3.3
"2368",0.5,0.42,0.08,"D",2.7,3.25,2.5
"2369",0.74,0.09,0.17,"A",2.87,3.25,2.37
"2370",0.32,0.19,0.49,"D",1.8,3.4,4.33
"2371",0.64,0.16,0.2,"D",2,3.4,3.5
"2372",0.31,0.41,0.28,"D",3.2,3.25,2.2
"2373",0.17,0.16,0.67,"A",2.3,3.25,3
"2374",0.31,0.54,0.15,"D",1.86,3.4,4
"2375",0.13,0.62,0.25,"D",1.72,3.5,4.75
"2376",0.03,0,0.97,"A",1.57,3.6,6
"2377",0,0.04,0.96,"H",1.9,3.25,4
"2378",0.08,0.21,0.71,"A",2.3,3.4,2.87
"2379",0.05,0,0.95,"H",1.5,3.75,7
"2380",0.8,0.11,0.09,"A",4.5,3.4,1.8
"2381",0.13,0.64,0.23,"D",0,0,0
"2382",0.04,0.24,0.72,"D",1.4,3.75,7.5
"2383",0.04,0.15,0.81,"H",2.1,3.25,3.4
"2384",0.01,0,0.99,"H",1.22,5.5,13
"2385",0.05,0.12,0.83,"H",2.1,3.25,3.2
"2386",0.15,0.15,0.7,"D",2.3,3.25,3
"2387",0.39,0.14,0.47,"A",2.25,3.2,3.1
"2388",0.19,0.23,0.58,"H",0,0,0
"2389",0.65,0.29,0.06,"D",5.5,3.5,1.533
"2390",0.14,0.17,0.69,"A",1.571,3.5,6.5
"2391",0.15,0.13,0.72,"H",2.6,3.2,2.62
"2392",0.08,0.08,0.84,"H",2.1,3.25,3
"2393",0.01,0,0.99,"H",1.22,5.5,13
"2394",0.06,0.11,0.83,"H",2.25,3.25,3.2
"2395",0.03,0.3,0.67,"D",2.1,3.25,3.6
"2396",0.26,0.56,0.18,"D",2.5,3.25,2.8
"2397",0.25,0.25,0.5,"A",0,0,0
"2398",0.02,0.33,0.65,"D",1.22,5.25,17
"2399",0,0.43,0.57,"D",2.1,3.2,3.6
"2400",0.11,0.04,0.85,"A",1.533,3.5,5.5
"2401",0.9,0.01,0.09,"A",4.5,3.6,1.727
"2402",0.56,0.38,0.06,"D",6.5,3.5,1.57
"2403",0.34,0.02,0.64,"H",2.1,3.25,4
"2404",0.02,0.11,0.87,"H",2,3.4,3.75
"2405",0.86,0.03,0.11,"A",6.5,4,1.53
"2406",0.05,0.23,0.72,"D",1.3,5,12
"2407",0.06,0.35,0.59,"D",2.7,3.25,2.62
"2408",0.07,0.09,0.84,"H",1.8,3.1,5
"2409",0.76,0.19,0.05,"A",4.5,3.5,1.83
"2410",0.73,0.15,0.12,"A",6.5,3.8,1.57
"2411",0.04,0.01,0.95,"H",1.8,3.5,4.75
"2412",0.31,0.39,0.3,"D",1.9,3.25,4.33
"2413",0.01,0,0.99,"H",1.16,6.5,21
"2414",0.1,0.05,0.85,"H",0,0,0
"2415",0.1,0.03,0.87,"H",1.833,3.25,3.75
"2416",0.01,0.03,0.96,"H",1.727,3.4,5
"2417",0.8,0.02,0.18,"A",2.62,3.25,2.75
"2418",0.12,0.63,0.25,"D",1.53,4,6.5
"2419",0.05,0.03,0.92,"H",1.66,3.6,5.5
"2420",0.16,0.15,0.69,"H",2.1,3.3,3.6
"2421",0,0.01,0.99,"H",1.25,5.25,15
"2422",0.86,0.1,0.04,"A",4.5,3.6,1.8
"2423",0.32,0.13,0.55,"H",1.83,3.3,4.33
"2424",0,0.01,0.99,"H",1.57,3.6,7
"2425",0.77,0.07,0.16,"A",3.1,3.25,2.37
"2426",0.02,0.07,0.91,"H",1.9,3.25,4.5
"2427",0,0.05,0.95,"H",2.1,3.3,3.6
"2428",0.37,0.15,0.48,"D",0,0,0
"2429",0,0,1,"H",1.18,6.5,19
"2430",0.88,0.02,0.1,"A",2.5,3.2,2.5
"2431",0.1,0.13,0.77,"A",2.6,3.2,2.62
"2432",0.03,0.19,0.78,"D",2.1,3.3,3.6
"2433",0.23,0.41,0.36,"A",3.6,3.3,2.1
"2434",0.52,0.22,0.26,"A",2.2,3.4,3.25
"2435",0.07,0.23,0.7,"H",0,0,0
"2436",0.02,0.01,0.97,"H",1.36,4.33,9
"2437",0.2,0.1,0.7,"H",2.2,3.25,3.4
"2438",0.06,0.42,0.52,"D",3,3.25,2.4
"2439",0.69,0.03,0.28,"A",9,4.33,1.4
"2440",0.09,0.08,0.83,"D",1.9,3.3,4.33
"2441",0.07,0.07,0.86,"H",1.61,3.75,6
"2442",0,0,1,"H",1.22,5,13
"2443",0.24,0.14,0.62,"D",2.87,3.25,2.5
"2444",0.27,0.06,0.67,"A",2.7,3.2,2.7
"2445",0.9,0.06,0.04,"A",4.333,3.25,1.727
"2446",0.43,0.09,0.48,"H",2.3,3.25,3
"2447",0.13,0.37,0.5,"D",2.1,3.4,3.5
"2448",0.07,0.13,0.8,"H",1.33,4.5,8.5
"2449",0.92,0.02,0.06,"A",7,4,1.5
"2450",0.85,0.01,0.14,"A",3.2,3.3,2.3
"2451",0.64,0.08,0.28,"H",9,4.33,1.4
"2452",0.81,0.16,0.03,"A",15,6,1.22
"2453",0.72,0.27,0.01,"D",7.5,3.6,1.5
"2454",0.01,0.03,0.96,"H",1.61,3.6,6.5
"2455",0.02,0.18,0.8,"H",1.57,3.75,6.5
"2456",0.25,0.27,0.48,"A",2.75,3.25,2.6
"2457",0.6,0.09,0.31,"A",3.8,3.3,2
"2458",0.55,0.06,0.39,"D",2.87,3.25,2.5
"2459",0.07,0.06,0.87,"D",2.75,3.25,2.6
"2460",0.17,0.22,0.61,"H",0,0,0
"2461",0.06,0.03,0.91,"H",1.25,5.5,13
"2462",0.25,0.09,0.66,"A",2.5,3,2.625
"2463",0.07,0.09,0.84,"H",1.44,4,7.5
"2464",0.2,0.66,0.14,"D",2.3,3.25,3
"2465",0.1,0.62,0.28,"D",2.2,3.25,3.4
"2466",0.11,0.58,0.31,"D",3,3.25,2.4
"2467",0,0.04,0.96,"H",1.28,5,13
"2468",0.2,0.21,0.59,"A",1.44,4.2,8
"2469",0.01,0.02,0.97,"H",1.2,6,17
"2470",0.3,0.38,0.32,"A",0,0,0
"2471",0.01,0.04,0.95,"H",1.16,6.5,21
"2472",0.1,0.14,0.76,"H",2.4,3.2,2.87
"2473",0.68,0.16,0.16,"H",5.5,3.6,1.66
"2474",0.1,0.06,0.84,"A",1.83,3.5,4.5
"2475",0.09,0.23,0.68,"H",2,3.4,3.8
"2476",0.16,0.46,0.38,"H",2,3.3,3.75
"2477",0.18,0.08,0.74,"A",3.1,3.25,2.37
"2478",0.32,0.32,0.36,"A",2.5,3.25,2.87
"2479",0.27,0.13,0.6,"D",3.25,3.25,2.3
"2480",0.29,0.2,0.51,"A",2.5,3.25,2.87
"2481",0.08,0.04,0.88,"H",1.5,4,7.5
"2482",0.12,0.28,0.6,"D",2.1,3.3,3.6
"2483",0.05,0.04,0.91,"H",1.444,4,7.5
"2484",0.04,0.05,0.91,"H",1.9,3.3,4.33
"2485",0.08,0.31,0.61,"D",2.1,3.3,3.6
"2486",0.2,0.2,0.6,"A",2.3,3.3,3.2
"2487",0.59,0.04,0.37,"A",4.2,3.4,1.9
"2488",0.14,0.03,0.83,"H",1.36,4.75,9
"2489",0.02,0.15,0.83,"D",1.33,4.75,11
"2490",0.04,0.1,0.86,"D",0,0,0
"2491",0.04,0.2,0.76,"H",2.25,3.3,3.25
"2492",0.09,0.39,0.52,"D",1.4,4.33,9
"2493",0.15,0.13,0.72,"A",2.375,3.2,2.625
"2494",0.05,0.24,0.71,"A",1.72,3.4,5
"2495",0.02,0.13,0.85,"H",1.7,3.5,5.5
"2496",0.28,0.62,0.1,"D",4.5,3.5,1.83
"2497",0.85,0.05,0.1,"A",8.5,4.5,1.4
"2498",0.05,0.18,0.77,"H",1.44,4.2,8
"2499",0.09,0.29,0.62,"D",1.9,3.3,4.33
"2500",0.61,0.04,0.35,"H",2.7,3.3,2.6
"2501",0.06,0.17,0.77,"D",2.1,3.3,3.6
"2502",0.45,0.1,0.45,"A",0,0,0
"2503",0.04,0.26,0.7,"D",1.9,3.4,4.2
"2504",0.05,0.05,0.9,"H",1.4,4.33,9
"2505",0,0.01,0.99,"H",1.364,4.333,9
"2506",0.07,0.1,0.83,"A",1.66,3.6,5.5
"2507",0.16,0.05,0.79,"H",2.5,3.25,2.87
"2508",0.02,0.04,0.94,"H",1.5,4,7
"2509",0.27,0.42,0.31,"H",0,0,0
"2510",0,0,1,"H",1.33,5,10
"2511",0.03,0.25,0.72,"D",1.727,3.25,4.333
"2512",0.17,0.07,0.76,"A",2.25,3.2,3.1
"2513",0.89,0.01,0.1,"A",7,4,1.5
"2514",0.03,0.2,0.77,"H",1.53,4,6.5
"2515",0.05,0.36,0.59,"D",1.2,5.5,12
"2516",0.2,0.29,0.51,"A",2.25,3.3,3.25
"2517",0.25,0.13,0.62,"H",2.2,3.2,3.25
"2518",0.14,0.33,0.53,"H",1.75,3.5,5
"2519",0.33,0.2,0.47,"A",2.87,3.25,2.5
"2520",0.33,0.02,0.65,"A",2.4,3.25,3
"2521",0.25,0.23,0.52,"H",2.75,3.25,2.62
"2522",0.56,0.19,0.25,"A",0,0,0
"2523",0.71,0.11,0.18,"A",5.5,3.6,1.66
"2524",0,0.03,0.97,"D",1.72,3.6,5
"2525",0.06,0.04,0.9,"H",1.909,3.25,3.5
"2526",0.07,0.18,0.75,"H",1.727,3.4,5
"2527",0.2,0.25,0.55,"H",2.37,3.25,2.87
"2528",0.07,0.25,0.68,"D",1.72,3.6,5
"2529",0.91,0.04,0.05,"A",8,4.5,1.4
"2530",0.25,0.47,0.28,"A",3.25,3.25,2.25
"2531",0.31,0.49,0.2,"D",1.61,3.75,6
"2532",0.38,0.19,0.43,"A",0,0,0
"2533",0.04,0.26,0.7,"D",1.9,3.4,4.2
"2534",0,0,1,"H",1.28,5,13
"2535",0.03,0.09,0.88,"H",2.6,3.1,2.7
"2536",0.09,0.41,0.5,"D",1.57,3.5,6.5
"2537",0.05,0.16,0.79,"D",1.9,3.4,4.2
"2538",0.01,0.03,0.96,"H",2.3,3.25,3.2
"2539",0.02,0.6,0.38,"D",5,3.6,1.72
"2540",0.03,0.18,0.79,"H",1.25,5.5,13
"2541",0.21,0.12,0.67,"H",4,3.5,1.9
"2542",0.06,0.12,0.82,"H",0,0,0
"2543",0.07,0.57,0.36,"D",2.37,3.2,3.1
"2544",0.63,0.21,0.16,"A",4.5,3.4,1.8
"2545",0.08,0.26,0.66,"D",2,3.25,4
"2546",0.06,0.45,0.49,"A",0,0,0
"2547",0.03,0,0.97,"H",1.83,3.5,4.5
"2548",0.01,0.03,0.96,"H",1.57,3.6,6
"2549",0.2,0.06,0.74,"A",6.5,4,1.53
"2550",0.03,0.07,0.9,"H",1.53,4,6.5
"2551",0.03,0.19,0.78,"H",1.9,3.4,4.2
"2552",0.07,0.19,0.74,"H",2.1,3.3,3.6
"2553",0.04,0.03,0.93,"D",1.8,3.6,4.5
"2554",0.1,0.03,0.87,"A",1.28,5,13
"2555",0,0,1,"H",1.33,4.75,11
"2556",0.54,0.43,0.03,"D",7,4,1.5
"2557",0.12,0.06,0.82,"A",1.8,3.4,4.333
"2558",0.2,0.05,0.75,"A",1.66,3.4,5.5
"2559",0.02,0.09,0.89,"H",1.61,3.75,6
"2560",0.33,0.27,0.4,"A",3.1,3.25,2.37
"2561",0.34,0.04,0.62,"A",2.4,3.25,3
"2562",0.08,0.21,0.71,"D",1.57,3.8,6.5
"2563",0.01,0,0.99,"H",1.2,6,13
"2564",0.48,0.08,0.44,"A",1.83,3.5,4.5
"2565",0.07,0.16,0.77,"A",2.6,3.3,2.75
"2566",0.98,0.01,0.01,"A",4.5,3.5,1.83
"2567",0.57,0.13,0.3,"A",4.5,3.6,1.8
"2568",0.01,0.05,0.94,"H",1.83,3.5,4.5
"2569",0.08,0.05,0.87,"H",1.44,4.33,7.5
"2570",0.31,0.28,0.41,"A",0,0,0
"2571",0.09,0.25,0.66,"D",1.53,4,6.5
"2572",0.08,0.08,0.84,"H",1.36,4.5,10
"2573",0.06,0.09,0.85,"H",2,3.25,3.25
"2574",0,0.03,0.97,"H",1.25,5,13
"2575",0.07,0,0.93,"H",2.5,3.25,2.87
"2576",0.7,0.03,0.27,"A",3.5,3.4,2.1
"2577",0.45,0.55,0,"D",6.5,3.8,1.57
"2578",0.01,0.01,0.98,"H",1.1,9,26
"2579",0.01,0.27,0.72,"H",1.83,3.5,4.5
"2580",0.83,0.05,0.12,"D",0,0,0
"2581",0.93,0.04,0.03,"A",17,7,1.16
"2582",0.07,0.3,0.63,"D",2.2,3.25,3.2
"2583",0.07,0.21,0.72,"D",2.75,3.2,2.5
"2584",0.13,0.05,0.82,"H",2.37,3.25,3.1
"2585",0.03,0.14,0.83,"H",2.5,3.3,2.87
"2586",0.6,0.09,0.31,"H",3.5,3.4,2.1
"2587",0.13,0.15,0.72,"H",2.6,3.3,2.7
"2588",0.06,0.12,0.82,"H",2.25,3.3,3.25
"2589",0.06,0.06,0.88,"H",1.16,7,17
"2590",0.01,0.12,0.87,"D",0,0,0
"2591",0.77,0.16,0.07,"D",3.6,3.3,2.1
"2592",0.13,0.07,0.8,"A",1.57,3.8,6.5
"2593",0.09,0.11,0.8,"H",1.615,3.4,5
"2594",0.07,0.08,0.85,"H",1.83,3.3,4.33
"2595",0.01,0.07,0.92,"H",1.44,4.2,8
"2596",0.05,0.07,0.88,"H",1.8,3.5,4.75
"2597",0.36,0.1,0.54,"H",1.9,3.5,4
"2598",0.38,0.13,0.49,"H",2.4,3.3,3
"2599",0.12,0.31,0.57,"H",2.25,3.2,3.1
"2600",0.01,0.23,0.76,"D",3,3.3,2.4
"2601",0.55,0.19,0.26,"D",2.4,3.3,3
"2602",0.18,0.12,0.7,"H",2.25,3.3,3.25
"2603",0.01,0.03,0.96,"H",1.3,5,12
"2604",0.22,0.11,0.67,"H",1.72,3.6,5
"2605",0.18,0.59,0.23,"D",0,0,0
"2606",0.28,0.06,0.66,"H",1.9,3.1,4.33
"2607",0.02,0.03,0.95,"H",1.66,3.6,5.5
"2608",0.36,0.3,0.34,"D",2.4,3.4,2.87
"2609",0.69,0.26,0.05,"D",8.5,4.5,1.4
"2610",0.02,0.46,0.52,"H",0,0,0
"2611",0.63,0.18,0.19,"A",2.25,3.3,3.25
"2612",0.17,0.21,0.62,"D",3,3.3,2.4
"2613",0.27,0.26,0.47,"H",2.875,3.25,2.375
"2614",0.09,0.02,0.89,"H",2.1,3.4,3.5
"2615",0.53,0.11,0.36,"A",6,4,1.57
"2616",0.32,0.02,0.66,"A",2.2,3.3,3.4
"2617",0.06,0.43,0.51,"D",1.66,3.6,5.5
"2618",0.05,0.2,0.75,"H",1.3,4.5,8
"2619",0.36,0.62,0.02,"D",3.4,3.25,2.1
"2620",0,0,1,"H",1.33,5,10
"2621",0.72,0.25,0.03,"D",6,4,1.57
"2622",0.95,0,0.05,"A",3.4,3.25,2.2
"2623",0.09,0.05,0.86,"H",1.36,5,8.5
"2624",0.22,0.57,0.21,"D",2.62,3.3,2.7
"2625",0,0.03,0.97,"H",1.8,3.3,5
"2626",0.37,0.44,0.19,"H",2.37,3.3,3
"2627",0.56,0.21,0.23,"H",0,0,0
"2628",0.02,0.23,0.75,"H",1.83,3.5,4.5
"2629",0.52,0.1,0.38,"D",2.37,3.2,2.9
"2630",0.06,0.13,0.81,"A",1.83,3.5,4.5
"2631",0.06,0.06,0.88,"D",1.9,3.5,4
"2632",0.19,0.52,0.29,"D",2.5,3.3,2.87
"2633",0.04,0.32,0.64,"D",2.1,3.2,3.75
"2634",0.16,0.57,0.27,"A",2.1,3.3,3.6
"2635",0.8,0.07,0.13,"A",13,5.5,1.25
"2636",0.09,0.17,0.74,"A",1.53,3.8,7
"2637",0.23,0.06,0.71,"A",1.909,3.25,3.5
"2638",0.18,0.03,0.79,"H",1.57,4,6
"2639",0.06,0.12,0.82,"H",2.2,3.4,3.25
"2640",0,0.02,0.98,"H",1.16,7,17
"2641",0.18,0.09,0.73,"H",1.66,3.6,5.5
"2642",0.15,0.14,0.71,"H",1.66,3.6,5.5
"2643",0.3,0.25,0.45,"A",0,0,0
"2644",0.09,0.1,0.81,"H",1.615,3.4,6
"2645",0.33,0.14,0.53,"A",5.5,4.2,1.57
"2646",0.03,0.01,0.96,"H",1.8,3.5,4.75
"2647",0.28,0.12,0.6,"H",2.1,3.3,3.6
"2648",0.14,0.08,0.78,"A",3.3,3.6,2.1
"2649",0.7,0.29,0.01,"A",4.33,3.75,1.8
"2650",0.76,0.23,0.01,"A",2.62,3.4,2.62
"2651",0.33,0.5,0.17,"D",3.2,3.5,2.2
"2652",0.1,0.26,0.64,"A",0,0,0
"2653",0.61,0.24,0.15,"A",12,6.5,1.22
"2654",0.75,0.04,0.21,"A",4,3.25,1.909
"2655",0.02,0.07,0.91,"H",1.83,3.25,4.5
"2656",0.57,0.05,0.38,"H",2.7,3.2,2.3
"2657",0.06,0.08,0.86,"D",1.28,5,10
"2658",0.31,0.04,0.65,"A",2.5,3.4,2.625
"2659",0.02,0.35,0.63,"H",0,0,0
"2660",0.92,0.03,0.05,"A",6.5,3.5,1.57
"2661",0.02,0.27,0.71,"D",0,0,0
"2662",0.72,0.13,0.15,"H",4,3.25,1.8
"2663",0.09,0.21,0.7,"D",1.909,3.3,4
"2664",0.33,0.17,0.5,"A",0,0,0
"2665",0.19,0.03,0.78,"A",1.2,6,17
"2666",0.43,0.43,0.14,"A",2.62,3.2,2.37
"2667",0.21,0.35,0.44,"A",2.6,3.3,2.75
"2668",0.84,0.08,0.08,"A",9,4.75,1.36
"2669",0.05,0.12,0.83,"H",2.5,3.25,3
"2670",0.02,0.02,0.96,"H",0,0,0
"2671",0.51,0.46,0.03,"D",6,3.75,1.62
"2672",0.03,0.1,0.87,"D",1.72,3.25,4.33
"2673",0.04,0.05,0.91,"H",2.25,3.25,3.25
"2674",0.19,0.54,0.27,"A",2.1,3.3,3.6
"2675",0.03,0.09,0.88,"H",1.5,4,7
"2676",0.85,0.02,0.13,"A",3.2,3.3,2.25
"2677",0.04,0.08,0.88,"H",1.67,3.4,6
"2678",0.38,0.45,0.17,"A",1.73,3.75,4.75
"2679",0.13,0.7,0.17,"D",1.83,3.25,5
"2680",0.03,0.15,0.82,"D",2.2,3.25,2.8
"2681",0.01,0,0.99,"H",1.72,3.4,5
"2682",0.09,0.44,0.47,"D",2.4,3.25,3
"2683",0.01,0,0.99,"H",1.4,4.33,9
"2684",0.12,0.01,0.87,"H",1.2,6.5,15
"2685",0.38,0.34,0.28,"H",3.25,3.3,2.25
"2686",0.05,0.06,0.89,"H",0,0,0
"2687",0.12,0.09,0.79,"D",2.1,3.25,3.75
"2688",0.05,0.11,0.84,"H",2,3.3,3.6
"2689",0.55,0.08,0.37,"A",1.91,3.25,4.5
"2690",0.04,0.04,0.92,"H",1.44,4.33,7.5
"2691",0.05,0.24,0.71,"D",1.83,3.5,4.5
"2692",0.67,0.2,0.13,"A",6,3.75,1.62
"2693",0.41,0.21,0.38,"D",0,0,0
"2694",0.35,0.12,0.53,"H",1.83,3.5,4.5
"2695",0.07,0.57,0.36,"D",1.44,4.5,7.5
"2696",0.05,0.27,0.68,"H",2.87,3.2,2.4
"2697",0,0.06,0.94,"H",1.67,3.75,5.5
"2698",0.02,0.09,0.89,"H",2.38,3.3,3
"2699",0.31,0.09,0.6,"H",2.88,3.3,2.5
"2700",0.06,0.05,0.89,"H",2.6,3.3,2.75
"2701",0.11,0.02,0.87,"H",1.67,3.75,5.5
"2702",0.75,0.18,0.07,"A",5,3.1,1.8
"2703",0.19,0.36,0.45,"H",1.17,7,17
"2704",0.6,0.13,0.27,"H",8,4.5,1.4
"2705",0.73,0.1,0.17,"H",3.5,3.3,2.1
"2706",0.14,0.18,0.68,"D",2.5,3.3,2.88
"2707",0.21,0.05,0.74,"H",3,3.3,2.38
"2708",0.27,0.1,0.63,"H",3.25,3.25,2.3
"2709",0.07,0.02,0.91,"A",2.25,3.25,3.4
"2710",0.45,0.23,0.32,"A",2.5,3.2,2.5
"2711",0,0,1,"H",1.2,6,19
"2712",0.16,0.01,0.83,"A",2.38,3.3,3
"2713",0.15,0.1,0.75,"A",2.6,3.25,2.8
"2714",0.13,0.1,0.77,"A",1.7,3.8,5
"2715",0.82,0.11,0.07,"A",8,4.33,1.44
"2716",0.07,0.07,0.86,"H",2.38,3.25,3.1
"2717",0.14,0.19,0.67,"A",2.25,3.3,3.3
"2718",0.09,0.18,0.73,"A",1.5,4,7
"2719",0.26,0.04,0.7,"A",2,3.4,3.8
"2720",0.63,0.05,0.32,"A",4.33,3.25,1.72
"2721",0.11,0.03,0.86,"H",2.2,3.25,3.2
"2722",0.06,0.66,0.28,"H",3.3,3.3,2.25
"2723",0.03,0.2,0.77,"H",1.14,7.5,23
"2724",0.05,0.04,0.91,"D",2.1,3.3,3.6
"2725",0.9,0.01,0.09,"A",12,5,1.3
"2726",0.08,0.13,0.79,"D",2.5,3.25,2.88
"2727",0.12,0.23,0.65,"D",1.83,3.5,4.5
"2728",0.06,0.08,0.86,"D",2.88,3.25,2.5
"2729",0.82,0.05,0.13,"A",0,0,0
"2730",0.5,0.15,0.35,"D",5,3.6,1.73
"2731",0.1,0.15,0.75,"H",1.833,3.25,3.75
"2732",0.58,0.07,0.35,"H",3.25,3.4,2.2
"2733",0.07,0.05,0.88,"H",2.2,3.3,3.4
"2734",0.21,0.07,0.72,"A",2.1,3.4,3.5
"2735",0.15,0.1,0.75,"H",1.73,3.75,4.75
"2736",0.33,0.01,0.66,"H",2.5,3.3,2.88
